SOLICITATIONNUM,DOCUMENTNUM,DOCUMENTTYPE,DOCNAME,DOCSIZE,GUID,SOURCE,RECEIPTDATE,ACTIVE,REC_CREATED_DATE,REC_UPDATED_DATE,DCS_LOAD_DATE,OBJECTID
DCKA-2019-I-0081,,Attachment 2,DCKA-2019-I-0081_Att2.docx,34 KB,{70E1456D-0000-C31E-AA86-912EAEA39BD5},PASS,1568174400000,1,1568174400000,,1568174400000,59
DCKA-2019-Q-0041,,Amendment 8,DCKA-2019-Q-0041_Amd8.pdf,70 KB,{E0DD456D-0000-CB1A-8E29-900595BA0F53},PASS,1566532800000,1,1566532800000,,1566532800000,60
DCKA-2019-B-0083,,Amendment 1,DCKA-2019-B-0083_Amd1.pdf,645 KB,{70DE456D-0000-C914-8274-88EA4F7DC1BA},PASS,1567051200000,1,1567051200000,,1567051200000,61
DCKA-2019-I-0087,,Amendment 1,DCKA-2019-I-0087_Amd1.pdf,138 KB,{E0DE456D-0000-C51F-9A31-FF75B64395AF},PASS,1567569600000,1,1567569600000,,1567569600000,62
DCEB-2019-R-0004,,Attachment 2,DCEB-2019-R-0004_Att2.pdf,327 KB,{40DF456D-0000-CF1D-B71B-5E5050C16C55},PASS,1567656000000,1,1567656000000,,1567656000000,63
DCEB-2019-R-0004,,Attachment 1,DCEB-2019-R-0004_Att1.pdf,1.6 MB,{B0DF456D-0000-CF1D-A7F9-39150182D4B1},PASS,1567656000000,1,1567656000000,,1567656000000,64
DCKA-2019-B-0083,,Amendment 3,DCKA-2019-B-0083_Amd3.pdf,1.1 MB,{20865E6D-0000-C310-85A2-FD3EEF2243A8},PASS,1568952000000,1,1569211200000,,1569211200000,65
DCEB-2020-B-1002,,Attachment 2,DCEB-2020-B-1002_Att2.pdf,54 KB,{A0027970-0000-C41A-A4A5-E4E5A98F1A8B},PASS,1582520400000,1,1582520400000,,1582520400000,66
DCEB-2020-B-1002,,Attachment 1,DCEB-2020-B-1002_Att1.pdf,1.1 MB,{30027970-0000-C419-8666-E84EDEEEB31F},PASS,1582520400000,1,1582520400000,,1582520400000,67
DCKA-2020-B-0074,,Amendment 3,DCKA-2020-B-0074_Amd3.pdf,197 KB,{301C8F79-0000-C71C-B724-29D7424F91DA},PASS,1621310400000,1,1621310400000,,1621310400000,68
DCKA-2021-B-0025,,Attachment 1,DCKA-2021-B-0025_Att1.xlsx,17 KB,{0034817A-0000-CF1C-85EE-D4541AE4F903},PASS,1625544000000,1,1625544000000,,1625544000000,69
DCKA-2021-B-0025,,Amendment 1,DCKA-2021-B-0025_Amd1.pdf,183 KB,{9033817A-0000-C61B-93B1-3CF3A745B7BC},PASS,1625544000000,1,1625544000000,,1625544000000,70
